track_id,track_name,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_name,album_type,album_total_tracks,track_duration_min,release_year,release_decade,popularity_90_plus,recent_release,explicit_label,genre_available,artist_track_count,artist_10_plus,genre_track_count,genre_30_plus
7H7SIkUTvK6LTuadr2qmzl,Casual,34,True,Valentin,40.0,2157.0,,Casual,single,1,3.77,2025,2020s,False,True,Explicit,Genre Missing,3.0,Below 10 Tracks,,Genre Missing
5fKBwqSTuCbnJlCOpeRa3o,Sexual,61,False,NEIKED,59.0,190060.0,,Sexual,single,5,3.15,2016,2010s,False,False,Non Explicit,Genre Missing,2.0,Below 10 Tracks,,Genre Missing
7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),13,False,Daniel Caesar,85.0,11125697.0,,Freudian,album,10,4.64,2017,2010s,False,False,Non Explicit,Genre Missing,3.0,Below 10 Tracks,,Genre Missing
0hhzNPE68LWLfgZwdpxVdR,us. (feat. Taylor Swift),75,True,Gracie Abrams,82.0,7403257.0,,The Secret of Us,album,13,4.04,2024,2020s,False,True,Explicit,Genre Missing,8.0,Below 10 Tracks,,Genre Missing
4TWflhgevIGo448fWc6mQq,Red Room,59,True,Offset,77.0,5608618.0,,FATHER OF 4,album,16,4.02,2019,2010s,False,False,Explicit,Genre Missing,4.0,Below 10 Tracks,,Genre Missing
0trHOzAhNpGCsGBEu7dOJo,N.Y. State of Mind,71,True,Nas,71.0,4290840.0,"east coast hip hop, old school hip hop, hip hop",Illmatic,album,10,4.9,1994,1990s,False,False,Explicit,Genre Available,8.0,Below 10 Tracks,10.0,Below 30 Tracks
1uJySP5oFRKW0Yzr7O87TW,Rape Me - Live At The Paramount,29,False,Nirvana,81.0,23384088.0,"grunge, rock",Nevermind (Super Deluxe Edition),album,70,2.99,1991,1990s,False,False,Non Explicit,Genre Available,91.0,10+ Tracks,91.0,30+ Tracks
1jB9bwnOJ3Ysq9ISUlOrxR,I Want You,24,False,Paris Hilton,48.0,808426.0,,Paris,album,14,3.2,2006,2000s,False,False,Non Explicit,Genre Missing,3.0,Below 10 Tracks,,Genre Missing
23HykWgKpB4MkjqDHPbQIX,Dragon Age Inquisition Theme,0,False,Trevor Morris,52.0,90530.0,"medieval, soundtrack",Dragon Age Inquisition,album,39,2.87,2014,2010s,False,False,Non Explicit,Genre Available,5.0,Below 10 Tracks,30.0,30+ Tracks
4FYWOYqOF9lbb1JcZFDT67,Cool for the Summer - Sped Up (Nightcore),57,True,Demi Lovato,77.0,27288825.0,,Cool for the Summer [Sped Up (Nightcore)],single,2,3.2,2022,2020s,False,False,Explicit,Genre Missing,13.0,10+ Tracks,,Genre Missing
4m1O87UP5gIFVpHFmB63Xw,Milton's Tower,38,False,Joel Corelitz,34.0,4722.0,,What Remains of Edith Finch (Original Soundtrack),album,18,0.93,2018,2010s,False,False,Non Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
1fJFuvU2ldmeAm5nFIHcPP,First Date,74,False,blink-182,75.0,9287487.0,"pop punk, punk, rock, skate punk, emo",Take Off Your Pants And Jacket,album,13,2.86,2001,2000s,False,False,Non Explicit,Genre Available,5.0,Below 10 Tracks,5.0,Below 30 Tracks
0w7XPnFp1jA7w7C8t89zJi,A Mistake,53,True,Fiona Apple,62.0,1800092.0,art pop,When The Pawn...,album,10,4.94,1999,1990s,False,False,Explicit,Genre Available,11.0,10+ Tracks,25.0,Below 30 Tracks
7inCfDM4S3xsVzgOUqSJOH,Dust,49,True,The Neighbourhood,83.0,21591569.0,,Hard To Imagine The Neighbourhood Ever Changing,album,21,3.48,2018,2010s,False,False,Explicit,Genre Missing,77.0,10+ Tracks,,Genre Missing
3KoTtGEDiBwUWzdRQVh9lh,Last Friday Night (T.G.I.F.),46,False,Katy Perry,83.0,38385499.0,pop,Teenage Dream,album,12,3.85,2010,2010s,False,False,Non Explicit,Genre Available,60.0,10+ Tracks,303.0,30+ Tracks
4KVFJwMQtIAeRJVAIOGkye,Never Know What To Say,32,False,Kris James,35.0,1803.0,,Pixelated Heart,album,14,2.77,2025,2020s,False,True,Non Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
